MSOA11CD,inner_outer
E02000001,Inner
E02000002,Outer
E02000003,Outer
E02000004,Outer
E02000005,Outer
E02000007,Outer
E02000008,Outer
E02000009,Outer
E02000010,Outer
E02000011,Outer
E02000012,Outer
E02000013,Outer
E02000014,Outer
E02000015,Outer
E02000016,Outer
E02000017,Outer
E02000018,Outer
E02000019,Outer
E02000020,Outer
E02000021,Outer
E02000022,Outer
E02000023,Outer
E02000024,Outer
E02000025,Outer
E02000026,Outer
E02000027,Outer
E02000028,Outer
E02000029,Outer
E02000030,Outer
E02000031,Outer
E02000032,Outer
E02000033,Outer
E02000034,Outer
E02000035,Outer
E02000036,Outer
E02000037,Outer
E02000038,Outer
E02000039,Outer
E02000040,Outer
E02000041,Outer
E02000042,Outer
E02000043,Outer
E02000044,Outer
E02000045,Outer
E02000046,Outer
E02000047,Outer
E02000048,Outer
E02000049,Outer
E02000050,Outer
E02000051,Outer
E02000052,Outer
E02000053,Outer
E02000054,Outer
E02000055,Outer
E02000056,Outer
E02000057,Outer
E02000058,Outer
E02000059,Outer
E02000060,Outer
E02000061,Outer
E02000062,Outer
E02000063,Outer
E02000064,Outer
E02000065,Outer
E02000066,Outer
E02000067,Outer
E02000068,Outer
E02000069,Outer
E02000070,Outer
E02000071,Outer
E02000072,Outer
E02000073,Outer
E02000074,Outer
E02000075,Outer
E02000077,Outer
E02000078,Outer
E02000079,Outer
E02000080,Outer
E02000081,Outer
E02000082,Outer
E02000083,Outer
E02000084,Outer
E02000085,Outer
E02000086,Outer
E02000087,Outer
E02000088,Outer
E02000089,Outer
E02000090,Outer
E02000091,Outer
E02000092,Outer
E02000093,Outer
E02000094,Outer
E02000095,Outer
E02000096,Outer
E02000097,Outer
E02000098,Outer
E02000099,Outer
E02000100,Outer
E02000101,Outer
E02000102,Outer
E02000103,Outer
E02000104,Outer
E02000105,Outer
E02000106,Outer
E02000107,Outer
E02000108,Outer
E02000109,Outer
E02000110,Outer
E02000111,Outer
E02000112,Outer
E02000113,Outer
E02000114,Outer
E02000115,Outer
E02000116,Outer
E02000117,Outer
E02000118,Outer
E02000119,Outer
E02000120,Outer
E02000121,Outer
E02000122,Outer
E02000123,Outer
E02000124,Outer
E02000125,Outer
E02000126,Outer
E02000127,Outer
E02000128,Outer
E02000130,Outer
E02000131,Outer
E02000132,Outer
E02000133,Outer
E02000134,Outer
E02000135,Outer
E02000136,Outer
E02000137,Outer
E02000138,Outer
E02000139,Outer
E02000140,Outer
E02000141,Outer
E02000142,Outer
E02000144,Outer
E02000145,Outer
E02000146,Outer
E02000147,Outer
E02000148,Outer
E02000149,Outer
E02000150,Outer
E02000151,Outer
E02000152,Outer
E02000153,Outer
E02000154,Outer
E02000155,Outer
E02000156,Outer
E02000157,Outer
E02000158,Outer
E02000159,Outer
E02000160,Outer
E02000161,Outer
E02000162,Outer
E02000163,Outer
E02000165,Outer
E02000166,Inner
E02000167,Inner
E02000168,Inner
E02000169,Inner
E02000170,Inner
E02000171,Inner
E02000172,Inner
E02000173,Inner
E02000174,Inner
E02000175,Inner
E02000176,Inner
E02000177,Inner
E02000178,Inner
E02000179,Inner
E02000180,Inner
E02000181,Inner
E02000182,Inner
E02000183,Inner
E02000184,Inner
E02000185,Inner
E02000186,Inner
E02000187,Inner
E02000188,Inner
E02000189,Inner
E02000190,Inner
E02000191,Inner
E02000192,Inner
E02000193,Inner
E02000194,Outer
E02000195,Outer
E02000196,Outer
E02000197,Outer
E02000198,Outer
E02000199,Outer
E02000200,Outer
E02000201,Outer
E02000202,Outer
E02000203,Outer
E02000204,Outer
E02000206,Outer
E02000207,Outer
E02000208,Outer
E02000209,Outer
E02000210,Outer
E02000211,Outer
E02000212,Outer
E02000213,Outer
E02000214,Outer
E02000215,Outer
E02000216,Outer
E02000217,Outer
E02000218,Outer
E02000219,Outer
E02000220,Outer
E02000221,Outer
E02000222,Outer
E02000223,Outer
E02000224,Outer
E02000225,Outer
E02000226,Outer
E02000227,Outer
E02000228,Outer
E02000229,Outer
E02000230,Outer
E02000231,Outer
E02000232,Outer
E02000233,Outer
E02000234,Outer
E02000235,Outer
E02000236,Outer
E02000237,Outer
E02000238,Outer
E02000239,Outer
E02000240,Outer
E02000241,Outer
E02000242,Outer
E02000243,Outer
E02000244,Outer
E02000245,Outer
E02000246,Outer
E02000247,Outer
E02000248,Outer
E02000249,Outer
E02000250,Outer
E02000251,Outer
E02000252,Outer
E02000253,Outer
E02000254,Outer
E02000255,Outer
E02000256,Outer
E02000257,Outer
E02000258,Outer
E02000259,Outer
E02000260,Outer
E02000261,Outer
E02000262,Outer
E02000263,Outer
E02000264,Outer
E02000265,Outer
E02000266,Outer
E02000267,Outer
E02000268,Outer
E02000269,Outer
E02000270,Outer
E02000271,Outer
E02000272,Outer
E02000274,Outer
E02000275,Outer
E02000276,Outer
E02000277,Outer
E02000278,Outer
E02000279,Outer
E02000280,Outer
E02000281,Outer
E02000282,Outer
E02000283,Outer
E02000284,Outer
E02000285,Outer
E02000286,Outer
E02000287,Outer
E02000288,Outer
E02000289,Outer
E02000290,Outer
E02000291,Outer
E02000292,Outer
E02000293,Outer
E02000294,Outer
E02000295,Outer
E02000296,Outer
E02000297,Outer
E02000298,Outer
E02000299,Outer
E02000300,Outer
E02000301,Outer
E02000302,Outer
E02000303,Outer
E02000304,Outer
E02000305,Outer
E02000306,Outer
E02000307,Outer
E02000308,Outer
E02000309,Outer
E02000311,Outer
E02000312,Outer
E02000313,Outer
E02000314,Outer
E02000315,Outer
E02000316,Outer
E02000317,Outer
E02000318,Outer
E02000319,Outer
E02000320,Outer
E02000321,Outer
E02000323,Outer
E02000324,Outer
E02000326,Outer
E02000327,Outer
E02000328,Outer
E02000329,Outer
E02000331,Outer
E02000332,Outer
E02000333,Outer
E02000334,Outer
E02000335,Outer
E02000337,Outer
E02000339,Outer
E02000340,Outer
E02000341,Outer
E02000342,Outer
E02000343,Outer
E02000344,Outer
E02000345,Inner
E02000346,Inner
E02000347,Inner
E02000348,Inner
E02000350,Inner
E02000351,Inner
