OBJECTID,MSOA11CD,BNG_E,BNG_N,Borough,msoa11hclnm,geometry,pub_tra_stops,bus_stops,rail_stops,Middle Super Output Area,BAME_per_2011,land_area_hectares,pop_den_2011,median_house_price_2012,level_4_per_2011,unemployment_rate_2011,median_income_2011/12,deprived_household_per_2010,bad_health_per_2011,no_car_per_2011,one_car_per_2011,car_per_household_2011,Unnamed: 0,MSOA,car_Tobs,bus_Tobs,rail_Tobs,car_ave_t,bus_ave_t,rail_ave_t,total_ave_t,total_Tobs,car_per,bus_per,rail_per,pub_per,pub_tra_stops_den,bus_stops_den,rail_stops_den,one_car_or_more_per_2011
1,E02000001,532384,181355,City of London,City of London,"POLYGON ((532135.1382 182198.130999999, 532158.25 182151.062000001, 532252.872 182179.310000001, 532293.1121 182068.354800001, 532310.091 182003.637, 532419.5919999999 181998.305, 532435.792 182003.32, 532445.7560000001 181957.9355, 532572.325 181938.869000001, 532634.497 181926.016000001, 532619.1409999999 181847.187999999, 532746.813 181786.891000001, 532883.5 181715.396, 532946.0649999999 181894.827, 533078.83 181840.528999999, 533206.797 181999.969000001, 533230.5 182082.453, 533410.6924000001 182037.874399999, 533352.0144 181739.7585, 533443.0132 181755.51, 533460.3722 181669.524599999, 533499.063 181582.405999999, 533604.2652 181418.1402, 533610.974 181410.968, 533743.7044 181261.338400001, 533782.577 181161.623, 533803.174 181053.432, 533837.968 180857.863399999, 533842.313 180789.312999999, 533808.0176 180767.7744, 533649.037 180733.8815, 533602.438 180815.173, 533551.194 180812.797, 533556.313 180778, 533483.875 180758.203, 533420.125 180691.780999999, 533403.375 180649.858999999, 533434.1090000001 180623.1785, 533394.9732 180515.2498, 533383.6932 180511.5603, 533382.0143 180510.6698, 533236.6997 180573.3007, 532916.8099 180594.605699999, 532643.0966 180624.596000001, 532474.1915 180677.002800001, 532274.6 180742.302300001, 532279.1017999999 180789.798699999, 532217 180749.4003, 532016.0082 180800.7951, 531625.6194 180797.997400001, 531145.1211 180782.111199999, 531147.438 180882.155999999, 531074.705 180990.359999999, 531127.938 181049.499, 531112.313 181104.297, 531172.233 181124.638, 531133.75 181278.984999999, 530966.688 181596.733999999, 531148.1016000001 181604.919500001, 531186.6316 181599.9376, 531274.978 181581.084000001, 531410.665 181576.112, 531521.6268 181639.8642, 531554.8607 181659.359200001, 531627.819 181695.686000001, 531796.375 181784.469000001, 532022.374 181893.469000001, 532082.876 181911.780999999, 532105.0919999999 182011.2305, 532089.264 182076.984999999, 532071.302 182159.585999999, 532135.1382 182198.130999999))",189.0,141.0,48.0,E02000001,21.4,289.8,26.2,485000,0.683641747,3.8,46788,5.2,2.6,69.4,25.1,0.4,0.0,E02000001,139,248,934,3.569505248201439,16.89937337217742,13.371134611991431,13.002154090386068,1321,10.5223315669947,18.77365632096896,70.70401211203634,89.47766843300529,0.6521739130434783,0.48654244306418215,0.16563146997929606,30.599999999999994
2,E02000002,548267,189685,Barking and Dagenham,Marks Gate,"POLYGON ((548881.563 190845.265000001, 548881.125 190802.516000001, 549000.726 190873.464199999, 549089.438 190714.062000001, 549084.2253 190584.474400001, 549071.8229 190312.532299999, 549116.5 190074.766000001, 549120.966 189772.294, 548464.375 189672.687000001, 548481.938 189556.801000001, 548466 189263, 548462 189132, 548452 189024.717, 548443.9 188953.818, 548344.0110000001 188916.141000001, 548357.9078 188845.155999999, 548397.1585 188848.679, 548393.972 188776.659499999, 548234.9166999999 188749.5393, 548114.1409999999 188727.999, 548079 188930, 548044.509 188924.2096, 548043.963 188793.336999999, 548058.466 188751.704, 547960.3 188743.241, 547804.36 188626.83, 547778.26 188711.117000001, 547735.4735 188840.823799999, 547770.6624 188886.7622, 547921.622 188943.192, 547882.61 189049.429, 547856.813 189093.687000001, 547813.7474 189096.524599999, 547514.541 189119.705, 547515.102 189127.605, 547533.139 189227.090500001, 547536.875 189301.016000001, 547510.063 189373.905999999, 547482.063 189374.094000001, 547433.0346 189612.0604, 547412.2455 189680.672499999, 547519.7224 189711.401799999, 547728.5601 189781.128900001, 547618.188 190059.891000001, 547973.4645999999 190348.166999999, 548453.813 190810.125, 548767.375 191138.983999999, 548877.6871 191097.300799999, 548845.688 190846.780999999, 548881.563 190845.265000001))",20.0,20.0,0.0,E02000002,35.0,216.2,31.7,182250,0.181926752,11.8,27059,31.0,5.7,37.6,43.7,0.8,1.0,E02000002,822,307,443,6.126413400121653,24.030633969381107,24.59392944713317,14.827243758638671,1572,52.29007633587786,19.52926208651399,28.18066157760814,47.70992366412214,0.09250693802035154,0.09250693802035154,0.0,62.4
3,E02000003,548259,188520,Barking and Dagenham,Chadwell Heath East,"POLYGON ((549102.438 189324.625, 548954.5168 189063.241, 548889.693 189065.75, 548874.188 188496.187000001, 548952.5 188492.265000001, 548954.419 188246.310000001, 548946.4534999999 188214.1965, 549019.063 188228.25, 549051.688 187899.812000001, 549085.6106 187836.677999999, 548972.6874000001 187816.677999999, 548871.063 187799.016000001, 548880.277 187766.342, 548881.188 187727.437000001, 548919.2674 187717.792199999, 549019.5135 187715.012, 549057.867 187664.755999999, 549099.634 187656.075999999, 549057.441 187578.528000001, 548997.824 187577.141000001, 549009.8864 187528.0966, 548956.745 187476.052999999, 548910.8755 187463.3255, 548895.763 187495.6, 548836.198 187478.952, 548849.39 187412.747, 548884.3100000001 187278.539000001, 548798.843 187271.890000001, 548754.851 187368.351, 548587.012 187431.987, 548651.171 187581.574999999, 548410.3810000001 187606, 548307.4570000001 187596.583000001, 548205.426 187516.984999999, 548113.25 187469, 547828.718 187450.825999999, 547706.4958 187444.411, 547682.875 187443.172, 547704.2610000001 187598.062000001, 547699.5649999999 187618.603, 547700.931 187707.665999999, 547721.5802 187758.9564, 547746.4408 187885.652799999, 547715.1654000001 187914.5438, 547700.275 188007.693499999, 547764.824 188024.107000001, 547817.938 188037.594000001, 547767.625 188214.733999999, 547701.8100000001 188170.098999999, 547662.6536 188271.819399999, 547656.586 188376.215, 547655.121 188431.359200001, 547642.3913 188528.662699999, 547696.983 188556.9322, 547804.36 188626.83, 547960.3 188743.241, 548058.466 188751.704, 548043.963 188793.336999999, 548044.509 188924.2096, 548079 188930, 548114.1409999999 188727.999, 548234.9166999999 188749.5393, 548393.972 188776.659499999, 548397.1585 188848.679, 548357.9078 188845.155999999, 548344.0110000001 188916.141000001, 548443.9 188953.818, 548452 189024.717, 548462 189132, 548466 189263, 548481.938 189556.801000001, 548464.375 189672.687000001, 549120.966 189772.294, 549120.7887 189640.2248, 549102.438 189324.625))",19.0,18.0,1.0,E02000003,45.4,214.2,47.7,205500,0.23454732,9.1,36835,18.9,4.0,31.2,45.7,1.0,2.0,E02000003,1398,424,1239,6.021906439577973,26.214051983726403,22.77393271057305,15.599570686713497,3061,45.67134923227703,13.85168245671349,40.47696831100947,54.32865076772296,0.08870214752567694,0.08403361344537816,0.004668534080298786,68.8
4,E02000004,551004,186412,Barking and Dagenham,Eastbrookend,"POLYGON ((551550.0564 187364.705, 551478 187263.672, 551441.7695000001 187136.9837, 551397.1658 186966.830399999, 551528.3909999999 186852.164000001, 551546.746 186751.643999999, 551525.75 186602.719000001, 551572.25 186477.141000001, 551554.375 186432.75, 551619.415 186429.698999999, 551740 186318.453, 551779.938 186178.422, 551943.7815 186027.614499999, 551905.8676 185894.1642, 551765 185746.529999999, 551670.8271 185446.844000001, 551204.5298 185301.5814, 551197.949 185502.672, 550485.0699999999 185441.081, 550425.177 185384.994999999, 550335.772 185516.551999999, 550247.107 185658.49, 550200.732 185624.845000001, 550239.0379999999 185744.426999999, 550531.512 185756.395, 550406.222 185898.109999999, 550272.848 185953.074999999, 550244.0176 185993.9506, 550171 185971.001, 550134.676 185957.313999999, 550106.508 185984.51, 550120.823 186020.007999999, 550076.0615 186039.4245, 550100 186065, 550064.6054999999 186096.4855, 550083.73 186125.562000001, 550141.214 186101.65, 550140.015 186225.429, 550166.997 186262.2645, 550299.4350000001 186255.261, 550295 186375, 550324.106 186374.318, 550350.373 186269.676999999, 550380.524 186429.955, 550414.102 186480.957, 550429.24 186734.062999999, 550413.112 186968.628, 550392.6646 187189.065400001, 550500.4599 187258.358999999, 550519.0379999999 187269.991, 550739.3182 187373.773800001, 550978.754 187347.255999999, 551129.67 187363.306500001, 551430.5993999999 187345.3092, 551551.563 187445.155999999, 551550.0564 187364.705))",13.0,13.0,0.0,E02000004,19.0,249.3,25.3,205000,0.178700361,9.3,39668,15.8,4.9,24.0,46.8,1.1,3.0,E02000004,1022,261,567,6.974718463111548,20.872681847126437,24.246237846208118,14.228945454162163,1850,55.24324324324324,14.1081081081081,30.648648648648642,44.75675675675675,0.052146008824709184,0.052146008824709184,0.0,76.0
5,E02000005,548733,186824,Barking and Dagenham,Becontree Heath,"POLYGON ((549099.634 187656.075999999, 549161.375 187625.608999999, 549210.294 187648.611199999, 549418.6798 187442.4122, 549145.83 187382.909, 549138.656 187195.188999999, 549134.9620000001 186976.064999999, 549128.6580000001 186912.549000001, 548983.438 186875.108999999, 548971.465 186596.734999999, 548933.0902 186439.260500001, 548958.34 186426.83, 548992.224 186459.42, 549027.282 186392.234999999, 549074.544 186436.509, 549156.002 186429.457, 549153.0110000001 186380.637, 549153.8524 186255.1218, 549077.0550000001 186262.685000001, 549026.797 186159.797, 548950 186174, 548933.884 186160.051000001, 548829.6189999999 186002.066, 548787.173 186018.232999999, 548741.2929999999 185971.812000001, 548693.8328 185979.047599999, 548675.608 186019.800000001, 548724.888 186041.229, 548708.174 186124.92, 548697.762 186138.521, 548816.874 186283.422, 548637.0495 186272.0218, 548619.938 186270.937000001, 548479.871 186262.99, 548477.397 186319.967, 548423.0330000001 186385.497, 548219.542 186423.999, 548136.262 186451.276000001, 548171.431 186545.742000001, 548152.5699999999 186621.655999999, 548058.0294999999 186664.453500001, 548080.906 186752.612, 548046.427 186780.787, 548065.54 186815.540999999, 548166.684 186868.664000001, 548172.955 186877.948999999, 548172.1215 186879.99, 548183.776 187040.510399999, 548199.3358 187084.073100001, 548262.125 187090.766000001, 548205.426 187516.984999999, 548307.4570000001 187596.583000001, 548410.3810000001 187606, 548651.171 187581.574999999, 548587.012 187431.987, 548754.851 187368.351, 548798.843 187271.890000001, 548884.3100000001 187278.539000001, 548849.39 187412.747, 548836.198 187478.952, 548895.763 187495.6, 548910.8755 187463.3255, 548956.745 187476.052999999, 549009.8864 187528.0966, 548997.824 187577.141000001, 549057.441 187578.528000001, 549099.634 187656.075999999))",10.0,10.0,0.0,E02000005,33.7,118.8,72.9,167000,0.175888086,9.7,29156,22.9,4.8,33.9,44.7,0.9,4.0,E02000005,1204,480,687,5.426413691362129,23.209605999166666,22.50596638355168,13.975374048713626,2371,50.78026149304091,20.24462252214255,28.97511598481653,49.21973850695909,0.08417508417508418,0.08417508417508418,0.0,66.1
6,E02000007,549698,186609,Barking and Dagenham,Central Park & Frizlands Lane,"POLYGON ((549819.9236 187080.6986, 549950.75 186961.062000001, 550250.8860000001 187148.609999999, 550392.6646 187189.065400001, 550413.112 186968.628, 550429.24 186734.062999999, 550414.102 186480.957, 550380.524 186429.955, 550350.373 186269.676999999, 550324.106 186374.318, 550295 186375, 550299.4350000001 186255.261, 550166.997 186262.2645, 550140.015 186225.429, 550141.214 186101.65, 550083.73 186125.562000001, 550064.6054999999 186096.4855, 550100 186065, 550076.0615 186039.4245, 550120.823 186020.007999999, 550106.508 185984.51, 549955.3050000001 185936.164000001, 549892.8540000001 185973.7465, 549899.0523 185885.6031, 549912.625 185841.187000001, 549604.0012000001 185773.201400001, 549341.732 185800.914000001, 549285.548 185796.585000001, 549140.9553 185788.4833, 549100.86 185827.896500001, 549023.036 185817.611, 549001.5 185872.207, 549020.441 185931.272, 549089.671 185924.620999999, 549143.738 185959.823000001, 549039.898 186065.595000001, 549052.341 186131.853, 549026.797 186159.797, 549077.0550000001 186262.685000001, 549153.8524 186255.1218, 549153.0110000001 186380.637, 549156.002 186429.457, 549074.544 186436.509, 549027.282 186392.234999999, 548992.224 186459.42, 548958.34 186426.83, 548933.0902 186439.260500001, 548971.465 186596.734999999, 548983.438 186875.108999999, 549128.6580000001 186912.549000001, 549134.9620000001 186976.064999999, 549138.656 187195.188999999, 549145.83 187382.909, 549418.6798 187442.4122, 549561.5416 187325.4574, 549819.9236 187080.6986))",21.0,21.0,0.0,E02000007,32.8,173.6,52.3,172500,0.176323598,13.1,25569,33.3,4.6,43.5,42.0,0.7,5.0,E02000007,1088,452,697,5.45040838108456,20.33242657588496,23.40838054720229,14.052723456557889,2237,48.63656683057666,20.20563254358515,31.157800625838178,51.36343316942333,0.12096774193548387,0.12096774193548387,0.0,56.5
7,E02000008,548218,185920,Barking and Dagenham,Becontree East,"POLYGON ((548171.431 186545.742000001, 548136.262 186451.276000001, 548219.542 186423.999, 548423.0330000001 186385.497, 548477.397 186319.967, 548479.871 186262.99, 548619.938 186270.937000001, 548637.0495 186272.0218, 548816.874 186283.422, 548697.762 186138.521, 548708.174 186124.92, 548724.888 186041.229, 548675.608 186019.800000001, 548693.8328 185979.047599999, 548741.2929999999 185971.812000001, 548787.173 186018.232999999, 548829.6189999999 186002.066, 548933.884 186160.051000001, 548950 186174, 549026.797 186159.797, 549052.341 186131.853, 549039.898 186065.595000001, 549143.738 185959.823000001, 549089.671 185924.620999999, 549020.441 185931.272, 549001.5 185872.207, 549023.036 185817.611, 549100.86 185827.896500001, 549140.9553 185788.4833, 548984.1956 185769.66, 548824.098 185757.740700001, 548662.9415 185739.195, 548675.856 185571.989, 548693.726 185481.2916, 548640.2195 185526.5155, 548506.088 185533.283, 548488.8515 185512.501499999, 548539.148 185477.888, 548515.385 185410.869000001, 548392.4002 185403.697000001, 548319.0058 185377.960000001, 548284.791 185399.385, 548257.366 185330.442, 548187 185319, 548068.745 185455.477, 548027.0209999999 185350.351, 548034.567 185108.007999999, 547857.345 185058.848999999, 547797.379 185285.987, 547714.142 185266.855, 547688.75 185286.375, 547502.687 185249.047, 547475.072 185265.478, 547492.4841 185291.487400001, 547633.823 185503.785, 547687.8959 185583.7687, 547796.9046 185747.43, 547802.8058 185756.292199999, 547794.323 185803.382999999, 547693.071 185788.773, 547602.526 185781.554, 547386.438 185739.858999999, 547381.0492 185754.869200001, 547433.3822 185956.964600001, 547556.879 186206.815199999, 547563.4624 186224.0776, 547597.917 186352.143999999, 547544.6801999999 186475.725400001, 547647.3959999999 186500.635, 547682.459 186457.158, 547657.899 186429.693, 547605.5379999999 186449.045, 547616.835 186389.597999999, 547722.572 186385.824999999, 547715.368 186514.865499999, 547750.772 186518.171499999, 547747 186574, 547801.14 186540.876, 547828.851 186545.505999999, 547830.143 186586.879000001, 547830.009 186588.874, 547835.01 186589.880999999, 547947.9695 186608.997, 547927.36 186669.282, 548046.427 186780.787, 548080.906 186752.612, 548058.0294999999 186664.453500001, 548152.5699999999 186621.655999999, 548171.431 186545.742000001))",22.0,22.0,0.0,E02000008,30.4,142.0,81.9,162000,0.162397125,11.1,26750,27.6,5.5,38.7,44.9,0.8,6.0,E02000008,1481,570,971,5.62059483178933,21.601394240175445,22.296654405355312,13.993033451482466,3022,49.00727994705493,18.86168100595632,32.131039046988754,50.992720052945074,0.15492957746478872,0.15492957746478872,0.0,61.3
8,E02000009,546785,185796,Barking and Dagenham,Becontree West,"POLYGON ((546867.625 186346.857999999, 546805.432 186233.265000001, 546875.6459999999 186236.677999999, 546897.8909999999 186166.181, 547016.9992 186299.3038, 547097.0638 186238.5164, 547136.925 186216.039999999, 547140.177 186168.968, 547214.356 186232.168, 547256.63 186193.604, 547296.145 186216.838, 547315.1928 186175.1436, 547396.307 186137.615, 547429.6899999999 186112.003, 547433.772 186043.540999999, 547356.2340000001 186000.417199999, 547348.2945 185926.000499999, 547283.9129999999 185962.022, 547230.139 185903.379000001, 547243 185837, 547296.518 185874.422, 547265.3915 185838.945, 547309.7929999999 185802.74, 547294.387 185772.528999999, 547354.062 185761.932, 547365.001 185784, 547381.0492 185754.869200001, 547386.438 185739.858999999, 547602.526 185781.554, 547693.071 185788.773, 547794.323 185803.382999999, 547802.8058 185756.292199999, 547796.9046 185747.43, 547687.8959 185583.7687, 547633.823 185503.785, 547492.4841 185291.487400001, 547426.9728 185204.9586, 547406.2975 185261.5515, 547329.167 185276.346000001, 547345.883 185348.501, 547248.0215 185371.014, 547228.838 185300.176000001, 547033.585 185348.362, 546814.496 185402.492000001, 546806.187 185404.515000001, 546644.11 185450.025, 546406.969 185502.463, 546181.625 185509.672, 546126.2756000001 185665.017999999, 546167.3012 185720.0305, 546207.3615999999 185774.251, 546269.7879999999 185810.009, 546276.063 185861.141000001, 546514.5 185860.030999999, 546615.975 186050.605, 546705.679 186165.459000001, 546562.005 186296.619999999, 546591.1872 186338.566500001, 546601.306 186386.581, 546867.625 186346.857999999))",14.0,14.0,0.0,E02000009,38.8,96.1,92.3,172248,0.195799779,11.1,27347,24.5,5.4,37.1,46.4,0.8,7.0,E02000009,1091,460,750,5.727566628964251,22.66110872521739,21.30759795866667,14.191040275880052,2301,47.4141677531508,19.991308126901338,32.59452411994785,52.58583224684919,0.14568158168574402,0.14568158168574402,0.0,62.9
9,E02000010,548913,185265,Barking and Dagenham,Dagenham North,"POLYGON ((549618.85 185517.064999999, 549637.0209999999 185476.813999999, 549673.688 185473.469000001, 549679.952 185411.5283, 549765.563 185416.75, 549786.625 185265.594000001, 549855.5124 185145.5452, 549904.375 185054.844000001, 549984.5185 184989.922, 549987.2512000001 184926.66, 549927.762 184906.169, 549751.6595 184850.6062, 549690.569 184831.925000001, 549556.711 184796.473999999, 549546.6191 184794.055299999, 549310.6932 184745.308599999, 549241.1438 184734.6744, 549182.799 184726.336999999, 549210.55 184859.187000001, 549301.111 184875.209000001, 549285.147 184980.904999999, 549319.85 184990.381999999, 549311.053 185038.882999999, 549345.996 185056.957, 549325.003 185185.541999999, 549371.8688000001 185194.707800001, 549323.571 185244.247500001, 549272.406 185240.278000001, 549235 185150.823000001, 549262.922 185060.028999999, 549191.5919999999 185048.449999999, 549196.036 184999.699999999, 549156.504 184979.900800001, 549041.999 185002.76, 549088.15 185062.335000001, 549050.173 185099.878, 549077.4089 185152.434599999, 549036.722 185188.470000001, 549029.8959999999 185189.380000001, 548976.2848 185182.330399999, 548932.3565 185245.7665, 548903.063 185211.297, 548803.9232 185232.045600001, 548689.357 185256.855, 548620.438 185129, 548648.2285 185111.461999999, 548633.0769 185084.0317, 548599.063 185022.547, 548389.188 185142.594000001, 548266.999 184978.594000001, 547931.5649999999 184917.673, 547857.345 185058.848999999, 548034.567 185108.007999999, 548027.0209999999 185350.351, 548068.745 185455.477, 548187 185319, 548257.366 185330.442, 548284.791 185399.385, 548319.0058 185377.960000001, 548392.4002 185403.697000001, 548515.385 185410.869000001, 548539.148 185477.888, 548488.8515 185512.501499999, 548506.088 185533.283, 548640.2195 185526.5155, 548693.726 185481.2916, 548675.856 185571.989, 548662.9415 185739.195, 548824.098 185757.740700001, 548984.1956 185769.66, 549140.9553 185788.4833, 549285.548 185796.585000001, 549341.732 185800.914000001, 549604.0012000001 185773.201400001, 549618.85 185517.064999999))",8.0,8.0,0.0,E02000010,30.8,112.1,79.0,163000,0.173726115,10.2,27077,28.5,5.0,38.9,44.0,0.8,8.0,E02000010,993,364,890,5.858972263141997,21.87705496868132,22.88369562641574,15.197016721588788,2247,44.19225634178905,16.199376947040488,39.60836671117045,55.80774365821095,0.07136485280999108,0.07136485280999108,0.0,61.1
10,E02000011,550613,185186,Barking and Dagenham,Dagenham Eastbrook,"POLYGON ((550244.0176 185993.9506, 550272.848 185953.074999999, 550406.222 185898.109999999, 550531.512 185756.395, 550239.0379999999 185744.426999999, 550200.732 185624.845000001, 550247.107 185658.49, 550335.772 185516.551999999, 550425.177 185384.994999999, 550485.0699999999 185441.081, 551197.949 185502.672, 551204.5298 185301.5814, 551670.8271 185446.844000001, 551422.438 185230.155999999, 551297.937 185055.062000001, 551246.626 184889.608999999, 551242.439 184701.751, 551207.0097000001 184613.103399999, 550904.62 184378.381999999, 550827.96 184430.973999999, 550706.802 184457.933, 550588.5379999999 184472.611, 550553.165 184443.390000001, 550474.375 184391.964, 550478.754 184434.4835, 550426.367 184466.67, 550442.053 184522.149, 550501.2529 184544.0878, 550513 184674.999, 550265 184726, 550265 184720, 550262.1382 184633.165200001, 550116.314 184635, 550114.064 184669.877, 549999.263 184679.968, 550048.161 184717.85, 549988.898 184778.611, 549971.3320000001 184801.683, 549977.1348 184810.492000001, 549927.762 184906.169, 549987.2512000001 184926.66, 549984.5185 184989.922, 549904.375 185054.844000001, 549855.5124 185145.5452, 549786.625 185265.594000001, 549765.563 185416.75, 549679.952 185411.5283, 549673.688 185473.469000001, 549637.0209999999 185476.813999999, 549618.85 185517.064999999, 549604.0012000001 185773.201400001, 549912.625 185841.187000001, 549899.0523 185885.6031, 549892.8540000001 185973.7465, 549955.3050000001 185936.164000001, 550106.508 185984.51, 550134.676 185957.313999999, 550171 185971.001, 550244.0176 185993.9506))",17.0,16.0,1.0,E02000011,33.6,159.4,39.6,171500,0.195416667,8.6,33153,17.9,3.9,29.2,48.6,1.0,9.0,E02000011,769,229,786,6.593326940416131,21.699842044978173,23.19996220839694,15.849048509686098,1784,43.10538116591928,12.836322869955149,44.05829596412556,56.89461883408071,0.10664993726474278,0.10037641154328733,0.006273525721455458,70.8
